TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0115,5,,XB,1220,14719,0,501,2,X,07,2021
1,AK,0708,5,,XO,1220,78476,0,777,1,X,07,2021
1,AK,19XX,1,XX,,2010,20275,20310,0,1,0,07,2021
1,AK,20XX,3,,XA,1220,4094,36,51,1,X,07,2021
1,AK,20XX,3,,XA,1220,67827,23,1335,2,X,07,2021
1,AK,20XX,3,,XC,1220,7405,144,102,1,X,07,2021
1,AK,20XX,3,,XC,1220,83680,44,116,2,X,07,2021
1,AK,20XX,3,,XM,1220,24426,1485,297,1,X,07,2021
1,AK,20XX,3,,XO,1220,28203,644,592,1,X,07,2021
1,AK,20XX,3,,XO,1220,2994,1,79,2,X,07,2021
1,AK,20XX,3,,XQ,1220,19908,598,806,1,X,07,2021
1,AK,20XX,3,,XQ,1220,5752,4,79,2,X,07,2021
1,AK,2303,5,CO,,2010,14444,0,0,1,0,07,2021
1,AK,2304,5,DF,,2010,32850,0,0,2,0,07,2021
1,AK,2304,5,JA,,2010,48950,0,0,1,0,07,2021
1,AK,2304,5,MX,,2010,4530,0,0,1,0,07,2021
1,AK,2304,5,MX,,2010,12076,0,0,2,0,07,2021
1,AK,2304,5,NL,,2010,883863,0,0,1,0,07,2021
1,AK,2304,5,NL,,2010,2357248,0,0,2,0,07,2021
1,AK,2304,5,OT,,2010,86498,0,0,1,0,07,2021
1,AK,2304,5,QT,,2010,4639,0,0,1,0,07,2021
1,AK,2304,5,SL,,2010,31578,0,0,1,0,07,2021
1,AK,2304,5,TL,,2010,44855,0,0,2,0,07,2021
1,AK,2304,5,TM,,2010,35224,0,0,1,0,07,2021
1,AK,2304,6,NL,,2010,125295,0,0,1,0,07,2021
1,AK,2305,5,NL,,2010,8903,0,0,1,0,07,2021
1,AK,2305,5,NL,,2010,261874,0,0,2,0,07,2021
1,AK,2305,5,SI,,2010,162000,0,0,2,0,07,2021
1,AK,2305,5,SL,,2010,5600,0,0,2,0,07,2021
1,AK,2506,5,BC,,2010,21606,0,0,1,0,07,2021
1,AK,3004,5,,XC,1220,3681589,0,60500,1,X,07,2021
1,AK,3004,5,,XC,1220,11644,0,237,2,X,07,2021
1,AK,3009,5,,XC,1220,188362,0,1146,1,X,07,2021
1,AK,3009,5,,XC,1220,327330,0,3241,2,X,07,2021
1,AK,3023,5,,XC,1220,44514,0,159,1,X,07,2021
1,AK,30XX,3,,XC,1220,27205,946,1531,1,X,07,2021
1,AK,3101,5,,XC,1220,28878,0,631,1,X,07,2021
1,AK,3103,5,,XC,1220,4668178,0,91476,1,X,07,2021
1,AK,3104,5,,XC,1220,49280,0,973,1,X,07,2021
1,AK,3104,5,,XC,1220,46150,0,1786,2,X,07,2021
1,AK,3104,5,,XY,1220,1626397,0,42237,1,X,07,2021
1,AK,3104,5,,XY,1220,33895,0,771,2,X,07,2021
1,AK,3106,5,,XC,1220,3466186,0,55525,1,X,07,2021
1,AK,3126,5,,XC,1220,251290,0,4927,1,X,07,2021
1,AK,3126,5,,XY,1220,4747514,0,73339,1,X,07,2021
1,AK,3126,8,,XC,1220,280672,0,478,1,X,07,2021
1,AK,31XX,1,,XB,1220,216698,52496,3590,1,X,07,2021
1,AK,31XX,1,,XC,1220,1086040,6945451,10752,1,X,07,2021
1,AK,31XX,3,,XC,1220,7361,4,668,1,X,07,2021
1,AK,3310,5,,XA,1220,13684,0,268,2,X,07,2021
1,AK,3310,5,,XY,1220,251303,0,1995,1,X,07,2021
1,AK,3401,5,,XM,1220,120167,0,0,1,X,07,2021
1,AK,3401,8,,XM,1220,16695,0,327,1,X,07,2021
1,AK,3801,5,,XO,1220,77657,0,3591,1,X,07,2021
1,AK,3802,5,,XO,1220,19607,0,278,1,X,07,2021
1,AK,70XX,5,,XC,1220,9900,0,348,1,X,07,2021
1,AK,70XX,8,,XC,1220,2036,0,174,1,X,07,2021
1,AK,70XX,8,,XM,1220,126,0,1,1,X,07,2021
1,AK,70XX,8,,XO,1220,451,0,9,1,X,07,2021
1,AK,70XX,8,,XQ,1220,480,0,25,1,X,07,2021
1,AL,0101,5,,XB,1220,3373,0,73,1,X,07,2021
1,AL,0106,5,,XB,1220,292231,0,14943,1,X,07,2021
1,AL,0115,5,,XB,1220,252574,0,11833,1,X,07,2021
1,AL,0115,5,,XB,1220,24215,0,567,2,X,07,2021
1,AL,0209,5,,XQ,1220,26808,0,1190,1,X,07,2021
1,AL,0212,5,,XQ,1220,28665,0,1364,1,X,07,2021
1,AL,0701,5,,XO,1220,304226,0,6339,1,X,07,2021
1,AL,0701,5,,XO,1220,4687,0,91,2,X,07,2021
1,AL,0708,5,,XA,1220,4347,0,139,2,X,07,2021
1,AL,0708,5,,XO,1220,11311411,0,63015,1,X,07,2021
1,AL,0708,5,,XO,1220,144845,0,2129,2,X,07,2021
1,AL,0708,5,,XQ,1220,38534,0,669,1,X,07,2021
1,AL,0712,5,,XA,1220,7021,0,286,1,X,07,2021
1,AL,0712,5,,XB,1220,9948,0,673,1,X,07,2021
1,AL,0712,5,,XM,1220,5073,0,641,1,X,07,2021
1,AL,0712,5,,XQ,1220,2960733,0,79599,1,X,07,2021
1,AL,0712,5,,XQ,1220,709154,0,9014,2,X,07,2021
1,AL,0712,6,,XO,1220,1760118,0,42593,1,X,07,2021
1,AL,0712,6,,XQ,1220,135820,0,3591,1,X,07,2021
1,AL,07XX,3,,XQ,1220,3565,21,70,1,X,07,2021
1,AL,07XX,3,,XQ,1220,5097,9,183,2,X,07,2021
1,AL,0901,5,,XO,1220,41677187,0,539232,1,X,07,2021
1,AL,0901,5,,XO,1220,795855,0,20812,2,X,07,2021
1,AL,0901,5,,XQ,1220,55345,0,1611,1,X,07,2021
1,AL,0901,5,,XQ,1220,15823,0,499,2,X,07,2021
1,AL,0901,6,,XO,1220,204595,0,6209,1,X,07,2021
1,AL,0901,8,,XO,1220,11736,0,0,1,X,07,2021
1,AL,09XX,3,,XO,1220,13392,1467,1148,1,X,07,2021
1,AL,10XX,1,,XW,1220,10372876,19888136,1995,1,X,07,2021
1,AL,11XX,3,XX,,2010,6013,230,0,1,0,07,2021
1,AL,13XX,1,XX,,2010,7163874,453150,0,1,0,07,2021
1,AL,17XX,1,XX,,2010,9916258,552413,0,1,0,07,2021
1,AL,17XX,3,XX,,2010,2570,20,0,2,1,07,2021
1,AL,18XX,1,XX,,2010,341000,906994,0,1,0,07,2021
1,AL,18XX,1,XX,,2010,78808,79230,0,1,1,07,2021
1,AL,19XX,1,XX,,2010,38233934,37374505,0,1,0,07,2021
1,AL,19XX,1,XX,,2010,4662814,12194853,0,1,1,07,2021
1,AL,19XX,1,XX,,2010,2985825,3165213,0,2,0,07,2021
1,AL,19XX,1,XX,,2010,194878,200699,0,2,1,07,2021
1,AL,19XX,3,,XQ,1220,25648,260,502,1,X,07,2021
1,AL,20XX,3,,XA,1220,786498,18339,3351,1,X,07,2021
1,AL,20XX,3,,XA,1220,56826,205,713,2,X,07,2021
1,AL,20XX,3,,XC,1220,71599,2748,1182,1,X,07,2021
1,AL,20XX,3,,XC,1220,61367,247,1245,2,X,07,2021
1,AL,20XX,3,,XM,1220,16451,195,268,1,X,07,2021
1,AL,20XX,3,,XM,1220,4912,11,79,2,X,07,2021
1,AL,20XX,3,,XO,1220,4100707,14532,19237,1,X,07,2021
1,AL,20XX,3,,XO,1220,238351,371,1684,2,X,07,2021
1,AL,20XX,3,,XQ,1220,1793209,20430,11166,1,X,07,2021
1,AL,20XX,3,,XQ,1220,354054,1804,1870,2,X,07,2021
