TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,01XX,1,,XB,1220,115611,24698,3515,1,X,12,2021
1,AK,0901,5,,XO,1220,14381,0,282,1,X,12,2021
1,AK,11XX,3,XX,,2010,2851,7,0,2,0,12,2021
1,AK,20XX,3,,XA,1220,26159,718,925,1,X,12,2021
1,AK,20XX,3,,XA,1220,3086,40,60,2,X,12,2021
1,AK,20XX,3,,XC,1220,37073,474,1646,1,X,12,2021
1,AK,20XX,3,,XC,1220,9901,51,98,2,X,12,2021
1,AK,20XX,3,,XO,1220,2745,1,78,1,X,12,2021
1,AK,20XX,3,,XQ,1220,40167,37,222,2,X,12,2021
1,AK,20XX,8,,XC,1220,20148,0,78,1,X,12,2021
1,AK,2303,5,CO,,2010,51954,0,0,1,0,12,2021
1,AK,2304,5,CH,,2010,40469,0,0,1,0,12,2021
1,AK,2304,5,CM,,2010,87328,0,0,1,0,12,2021
1,AK,2304,5,HG,,2010,2518,0,0,1,0,12,2021
1,AK,2304,5,JA,,2010,8343,0,0,1,0,12,2021
1,AK,2304,5,JA,,2010,8222,0,0,2,0,12,2021
1,AK,2304,5,MX,,2010,32601,0,0,1,0,12,2021
1,AK,2304,5,MX,,2010,277531,0,0,2,0,12,2021
1,AK,2304,5,NL,,2010,1466977,0,0,1,0,12,2021
1,AK,2304,5,QR,,2010,47436,0,0,1,0,12,2021
1,AK,2304,5,TM,,2010,14956,0,0,1,0,12,2021
1,AK,2304,6,NL,,2010,184499,0,0,1,0,12,2021
1,AK,2304,8,JA,,2010,3365,0,0,1,X,12,2021
1,AK,2305,5,CO,,2010,107964,0,0,2,0,12,2021
1,AK,2305,5,NL,,2010,157664,0,0,1,0,12,2021
1,AK,2305,5,TB,,2010,120000,0,0,2,0,12,2021
1,AK,2402,5,MX,,2010,3278,0,0,1,0,12,2021
1,AK,2507,5,JA,,2010,28347,0,0,1,0,12,2021
1,AK,29XX,3,,XC,1220,11679,22,1063,1,X,12,2021
1,AK,3004,5,,XC,1220,2727129,0,59347,1,X,12,2021
1,AK,3004,5,,XC,1220,7135,0,182,2,X,12,2021
1,AK,3019,5,,XC,1220,22843,0,447,1,X,12,2021
1,AK,3020,5,,XC,1220,127209,0,386,1,X,12,2021
1,AK,3023,5,,XC,1220,309580,0,11325,1,X,12,2021
1,AK,30XX,1,,XC,1220,155788,1594506,1542,1,X,12,2021
1,AK,30XX,1,XX,,2010,71950,25946,0,1,1,12,2021
1,AK,30XX,3,,XC,1220,6355,82,153,1,X,12,2021
1,AK,30XX,3,,XQ,1220,110839,68038,1406,1,X,12,2021
1,AK,3101,5,,XC,1220,108969,0,2383,1,X,12,2021
1,AK,3103,5,,XC,1220,5942424,0,113277,1,X,12,2021
1,AK,3103,5,,XC,1220,10166,0,242,2,X,12,2021
1,AK,3104,5,,XY,1220,1511461,0,10880,1,X,12,2021
1,AK,3104,5,,XY,1220,292155,0,312,2,X,12,2021
1,AK,3106,5,,XC,1220,1214225,0,23782,1,X,12,2021
1,AK,3126,8,,XA,1220,16087,0,15,1,X,12,2021
1,AK,31XX,1,,XB,1220,333539,77194,4681,1,X,12,2021
1,AK,31XX,1,,XC,1220,89538,1164120,886,1,X,12,2021
1,AK,31XX,3,,XC,1220,148505,26434,7888,1,X,12,2021
1,AK,3310,5,,XA,1220,19872,0,288,1,X,12,2021
1,AK,3310,5,,XA,1220,36968,0,2184,2,X,12,2021
1,AK,3401,5,,XM,1220,13629,0,223,1,X,12,2021
1,AK,34XX,3,,XM,1220,6420,18,186,1,X,12,2021
1,AK,3501,3,,XM,1220,3930,7,77,1,X,12,2021
1,AK,35XX,3,,XA,1220,4269,24,421,1,X,12,2021
1,AK,3801,5,,XO,1220,404937,0,11794,1,X,12,2021
1,AK,3802,5,,XO,1220,219018,0,8528,1,X,12,2021
1,AK,4101,3,,XO,1220,3346,36,65,2,X,12,2021
1,AK,41XX,3,XX,,2010,90270,210,0,1,0,12,2021
1,AK,4504,3,,XB,1220,573522,183352,13511,1,X,12,2021
1,AK,52XX,3,XX,,2010,68000,385,0,1,0,12,2021
1,AK,70XX,5,,XC,1220,9942,0,350,1,X,12,2021
1,AK,70XX,8,,XC,1220,3686,0,255,1,X,12,2021
1,AK,70XX,8,,XQ,1220,2384,0,250,1,X,12,2021
1,AL,0101,5,,XB,1220,3762,0,73,1,X,12,2021
1,AL,0106,5,,XB,1220,134584,0,6353,1,X,12,2021
1,AL,0115,5,,XB,1220,160093,0,5466,1,X,12,2021
1,AL,0115,5,,XB,1220,32062,0,583,2,X,12,2021
1,AL,0209,5,,XQ,1220,26379,0,517,1,X,12,2021
1,AL,0701,5,,XO,1220,46552,0,855,1,X,12,2021
1,AL,0708,5,,XO,1220,9468728,0,107609,1,X,12,2021
1,AL,0708,5,,XO,1220,685507,0,10453,2,X,12,2021
1,AL,0708,5,,XQ,1220,215125,0,7195,1,X,12,2021
1,AL,0712,5,,XA,1220,11324,0,1516,1,X,12,2021
1,AL,0712,5,,XC,1220,66411,0,6222,1,X,12,2021
1,AL,0712,5,,XM,1220,112406,0,7717,1,X,12,2021
1,AL,0712,5,,XO,1220,50316,0,5041,1,X,12,2021
1,AL,0712,5,,XQ,1220,2342336,0,59950,1,X,12,2021
1,AL,0712,5,,XQ,1220,1126244,0,20680,2,X,12,2021
1,AL,0712,6,,XO,1220,128705,0,1273,1,X,12,2021
1,AL,0712,6,,XQ,1220,120763,0,3515,1,X,12,2021
1,AL,07XX,3,,XQ,1220,32154,570,731,1,X,12,2021
1,AL,07XX,3,,XQ,1220,38991,518,842,2,X,12,2021
1,AL,0901,5,,XC,1220,33912,0,390,1,X,12,2021
1,AL,0901,5,,XC,1220,8206,0,149,2,X,12,2021
1,AL,0901,5,,XM,1220,11237,0,220,1,X,12,2021
1,AL,0901,5,,XO,1220,23396628,0,303489,1,X,12,2021
1,AL,0901,5,,XO,1220,1263722,0,23602,2,X,12,2021
1,AL,0901,5,,XQ,1220,30078,0,1074,1,X,12,2021
1,AL,0901,6,,XM,1220,85714,0,1225,1,X,12,2021
1,AL,0901,6,,XO,1220,161110,0,3593,1,X,12,2021
1,AL,09XX,3,,XO,1220,16705,88,33,1,X,12,2021
1,AL,09XX,3,,XO,1220,41643,146,3788,2,X,12,2021
1,AL,09XX,3,,XQ,1220,6714,95,7,1,X,12,2021
1,AL,13XX,1,XX,,2010,1199376,60870,0,1,0,12,2021
1,AL,17XX,1,XX,,2010,10652669,621961,0,1,0,12,2021
1,AL,17XX,3,XX,,2010,8395,3,0,2,0,12,2021
1,AL,18XX,1,XX,,2010,286000,760627,0,1,0,12,2021
1,AL,18XX,1,XX,,2010,103665,96649,0,1,1,12,2021
1,AL,19XX,1,XX,,2010,24057729,22119373,0,1,0,12,2021
1,AL,19XX,1,XX,,2010,4736460,9349061,0,1,1,12,2021
1,AL,19XX,1,XX,,2010,2162963,1999984,0,2,0,12,2021
1,AL,19XX,1,XX,,2010,843935,1493000,0,2,1,12,2021
1,AL,19XX,3,XX,,2010,10426,99,0,1,0,12,2021
1,AL,2006,3,,XO,1220,49409,41,966,1,X,12,2021
1,AL,2006,3,,XQ,1220,3193,40,62,1,X,12,2021
1,AL,20XX,3,,XA,1220,436211,3674,3006,1,X,12,2021
1,AL,20XX,3,,XA,1220,37532,80,422,2,X,12,2021
1,AL,20XX,3,,XC,1220,138060,1438,1308,1,X,12,2021
1,AL,20XX,3,,XM,1220,50525,742,1357,1,X,12,2021
1,AL,20XX,3,,XO,1220,874900,1413,8288,1,X,12,2021
1,AL,20XX,3,,XO,1220,220028,578,1477,2,X,12,2021
1,AL,20XX,3,,XQ,1220,1297688,3569,10227,1,X,12,2021
1,AL,20XX,3,,XQ,1220,364725,733,2181,2,X,12,2021
1,AL,20XX,3,XX,,2010,1889341,11162,0,1,0,12,2021
1,AL,20XX,3,XX,,2010,177035,1977,0,2,0,12,2021
1,AL,20XX,8,,XQ,1220,17238,0,140,1,X,12,2021
1,AL,2301,5,CO,,2010,42895,0,0,1,0,12,2021
1,AL,2301,5,DF,,2010,9803,0,0,1,0,12,2021
1,AL,2301,5,MX,,2010,15278,0,0,1,0,12,2021
1,AL,2301,5,NL,,2010,138197,0,0,1,0,12,2021
1,AL,2301,5,TM,,2010,83451,0,0,1,0,12,2021
1,AL,2301,6,NL,,2010,129088,0,0,1,0,12,2021
1,AL,2301,8,TM,,2010,12391,0,0,1,X,12,2021
1,AL,2303,5,CO,,2010,497598,0,0,1,0,12,2021
1,AL,2303,5,CO,,2010,38604,0,0,2,0,12,2021
1,AL,2303,5,DF,,2010,14360,0,0,1,0,12,2021
1,AL,2303,5,DF,,2010,3888,0,0,2,0,12,2021
1,AL,2303,5,DG,,2010,348705,0,0,1,0,12,2021
1,AL,2303,5,HG,,2010,1465093,0,0,1,0,12,2021
1,AL,2303,5,MX,,2010,436913,0,0,1,0,12,2021
1,AL,2303,6,CO,,2010,2496817,0,0,1,0,12,2021
1,AL,2303,6,NL,,2010,612476,0,0,1,0,12,2021
1,AL,2304,5,AG,,2010,1359108,0,0,1,0,12,2021
1,AL,2304,5,CH,,2010,136408,0,0,1,0,12,2021
1,AL,2304,5,CH,,2010,64458,0,0,2,0,12,2021
1,AL,2304,5,CM,,2010,47711,0,0,1,0,12,2021
1,AL,2304,5,CO,,2010,1364575,0,0,1,0,12,2021
1,AL,2304,5,CO,,2010,359394,0,0,1,1,12,2021
1,AL,2304,5,CO,,2010,4862,0,0,2,0,12,2021
1,AL,2304,5,DF,,2010,1103089,0,0,1,0,12,2021
1,AL,2304,5,DF,,2010,111802,0,0,2,0,12,2021
1,AL,2304,5,GT,,2010,13717328,0,0,1,0,12,2021
1,AL,2304,5,GT,,2010,48811,0,0,1,1,12,2021
1,AL,2304,5,GT,,2010,142779,0,0,2,0,12,2021
1,AL,2304,5,GT,,2010,6680,0,0,2,1,12,2021
1,AL,2304,5,HG,,2010,17256967,0,0,1,0,12,2021
1,AL,2304,5,JA,,2010,614189,0,0,1,0,12,2021
1,AL,2304,5,JA,,2010,70249,0,0,2,0,12,2021
1,AL,2304,5,MI,,2010,154028,0,0,1,0,12,2021
1,AL,2304,5,MO,,2010,178778,0,0,1,0,12,2021
1,AL,2304,5,MX,,2010,6598857,0,0,1,0,12,2021
1,AL,2304,5,MX,,2010,384081,0,0,2,0,12,2021
1,AL,2304,5,NL,,2010,37771805,0,0,1,0,12,2021
1,AL,2304,5,NL,,2010,335359,0,0,1,1,12,2021
1,AL,2304,5,NL,,2010,828541,0,0,2,0,12,2021
1,AL,2304,5,NL,,2010,2636,0,0,2,1,12,2021
1,AL,2304,5,OT,,2010,1221066,0,0,1,0,12,2021
1,AL,2304,5,OT,,2010,401202,0,0,2,0,12,2021
1,AL,2304,5,PU,,2010,1115745,0,0,1,0,12,2021
1,AL,2304,5,PU,,2010,415231,0,0,1,1,12,2021
1,AL,2304,5,PU,,2010,105817,0,0,2,0,12,2021
1,AL,2304,5,QT,,2010,1886023,0,0,1,0,12,2021
1,AL,2304,5,QT,,2010,1051950,0,0,1,1,12,2021
1,AL,2304,5,QT,,2010,129150,0,0,2,0,12,2021
1,AL,2304,5,SI,,2010,153600,0,0,1,0,12,2021
1,AL,2304,5,SL,,2010,1820526,0,0,1,0,12,2021
1,AL,2304,5,SL,,2010,303974,0,0,2,0,12,2021
1,AL,2304,5,SO,,2010,48255,0,0,1,0,12,2021
1,AL,2304,5,TL,,2010,5012,0,0,2,0,12,2021
1,AL,2304,5,TM,,2010,5368223,0,0,1,0,12,2021
